Noise Type,Minimum Reward,Maximum Reward,Final Reward,Timestep at Maximum,Mean Reward,Reward Standard Deviation,Median Reward,Reward Interquartile Range,Cumulative Reward,Area Under Reward Curve,Normalized Area Under Reward Curve,Coefficient of Variation Reward,Volatility,Steps to Threshold,Plateau Length,Reward Trend Slope,Reward Trend R Value,Reward Trend P Value,Reward Trend Standard Error,ROC AUC,Minimum Entropy,Maximum Entropy,Mean Entropy,Entropy Standard Deviation,Entropy Trend Slope,Entropy Trend R Value,Entropy Trend P Value,Entropy Trend Standard Error
none,4.375227040018217,4.721771969169277,4.702510875967308,96938.77551020408,4.580737839028625,0.10403523922363497,4.619312743880425,0.17230254945063805,448.91230822480526,458106.4982722852,0.9702003850746778,0.022711458913286405,0.018477078374053286,0.0,2,3.4164322268579553e-06,0.9577087313520669,9.817092430906476e-54,1.0476184588166434e-07,1.0,4.009302234649658,4.010206460952759,4.009788376944406,0.00020508969455100592,-5.5332968245336866e-09,-0.7868305915599885,7.760733732025145e-22,4.4296686813577596e-10
action,4.388084042310908,4.675797669070448,4.652239236143451,77551.02040816327,4.5517118865742825,0.08652232843417992,4.567476737178524,0.14712694130013304,446.06776488427965,455190.22683730663,0.9735028310748074,0.019008744531785055,0.01659242632046556,0.0,2,2.8590058487485413e-06,0.9636691421362373,7.689820802712673e-57,8.087670677322417e-08,1.0,4.009466171264648,4.011414051055908,4.0104473512999865,0.0004998832653364487,-1.344274501411282e-08,-0.7842607312375763,1.2914644652187496e-21,1.0853895459596797e-09
