Statistic,Value
max_reward,283.75457763671875
timestep_at_max,99400.0
mean_reward,68.19916393493652
std_reward,21.686934231874112
median_reward,68.4990119934082
iqr_reward,21.31363296508789
cum_reward,852489.5491867065
reward_trend_slope,5.752453513914264e-06
reward_trend_r_value,0.007657712829121233
mean_entropy,34.02755727554321
std_entropy,7.485554226900172
min_entropy,23.553730010986328
max_entropy,53.9616584777832
